X,Y,fid,code,num_noeud,groupe,numero,statut,type_res,mode,x,y,z,no_civique,nom_rue,mslink,mapid,edl,guid,mslink_p,mapid_p,edl_p,guid_p,icon_url
-71.6889788380755,46.696659861708,1,3,N-0149,,PU-3,Actif,Eau potable,Purgeur d'eau,213869.79,5173694.64,60,,"Gingras, Rue",,,BF-0242,,,,N-0149,,./0.png
-71.6899258701877,46.6967407933,2,2,N-0147,,PU-7,Actif,Eau potable,Purgeur d'eau,213797.5,5173704.73,60,,"Gingras, Rue",,,BF-0240,,,,N-0147,,./0.png
-71.7180884316677,46.6898519782282,3,11,N-0140,,PU-4,Actif,Eau potable,Purgeur d'eau,211631.8743,5172971.961,71.981,,2e Rang,,,BF-0236,,,,N-0140,,./0.png
-71.6917203890603,46.6700027232684,4,7,N-0169,,PU-1,Actif,Eau potable,Purgeur d'eau,213615.28,5170734.81,10,,"Bord-de-l'Eau, Rue du",,,BF-0257,,,,N-0169,,./0.png
-71.6930555112238,46.6679336045832,5,10,N-0168,,PU-2,Actif,Eau potable,Purgeur d'eau,213509.64,5170506.37,8,,"Gignac, Rue",,,BF-0256,,,,N-0168,,./0.png
-71.7145787756747,46.6900957491361,6,9,N-0142,,PU-5,Actif,Eau potable,Purgeur d'eau,211900.7331,5172994.9097,70,,2e Rang,,,BF-0237,,,,N-0142,,./0.png
-71.6700878190844,46.6816683312815,7,8,"2068",,PU-11,Actif,Eau potable,Purgeur d'eau,215289.75,5172006.65,53,,Route 138,,,,,,,,,./0.png
-71.6953591789874,46.6688526835214,8,5,"2066",,PU-9,Actif,Eau potable,Purgeur d'eau,213334.92,5170611.2,13,,"Bord-de-l'Eau, Rue du",,,,,,,,,./0.png
-71.6897818778158,46.670583931461,9,6,N-0170,,PU-8,Actif,Eau potable,Purgeur d'eau,213764.58,5170797.17,10,,"Bord-de-l'Eau, Rue du",,,BF-0258,,,,N-0170,,./0.png
-71.7016858266354,46.6903589175988,10,4,N-0148,,PU-6,Actif,Eau potable,Purgeur d'eau,212887.31,5173009.03,65.0466,,2e Rang,,,BF-0241,,,,N-0148,,./0.png
-71.7266051702475,46.6699434493545,11,1,N-0751,,PU-10,Actif,Eau potable,Purgeur d'eau,210945.99,5170769.2,20.6,,"Sainte-Anne, Avenue",,,,,,,,,./0.png
